0.00000000e+00  0.00000000e+00  0.00000000e+00  7.07106781e+00  7.07106781e+00  0.00000000e+00 -9.81000000e+00
1.00000000e-02  7.07106781e-02  7.07106781e-02  7.07106781e+00  6.97296781e+00 -1.75554728e+00 -1.15411918e+01
2.00000000e-02  1.41421356e-01  1.40440356e-01  7.05351234e+00  6.85755589e+00 -1.73473845e+00 -1.14965450e+01
3.00000000e-02  2.11956480e-01  2.09015915e-01  7.03616495e+00  6.74259044e+00 -1.71423188e+00 -1.14527079e+01
4.00000000e-02  2.82318129e-01  2.76441820e-01  7.01902264e+00  6.62806337e+00 -1.69402463e+00 -1.14096675e+01
5.00000000e-02  3.52508356e-01  3.42722453e-01  7.00208239e+00  6.51396669e+00 -1.67411392e+00 -1.13674113e+01
6.00000000e-02  4.22529179e-01  4.07862120e-01  6.98534125e+00  6.40029258e+00 -1.65449707e+00 -1.13259267e+01
7.00000000e-02  4.92382592e-01  4.71865046e-01  6.96879628e+00  6.28703331e+00 -1.63517156e+00 -1.12852014e+01
8.00000000e-02  5.62070555e-01  5.34735379e-01  6.95244456e+00  6.17418130e+00 -1.61613496e+00 -1.12452233e+01
9.00000000e-02  6.31595000e-01  5.96477192e-01  6.93628321e+00  6.06172906e+00 -1.59738499e+00 -1.12059803e+01
1.00000000e-01  7.00957833e-01  6.57094483e-01  6.92030936e+00  5.94966926e+00 -1.57891948e+00 -1.11674608e+01
1.10000000e-01  7.70160926e-01  7.16591175e-01  6.90452017e+00  5.83799465e+00 -1.56073640e+00 -1.11296530e+01
1.20000000e-01  8.39206128e-01  7.74971122e-01  6.88891281e+00  5.72669812e+00 -1.54283380e+00 -1.10925454e+01
1.30000000e-01  9.08095256e-01  8.32238103e-01  6.87348447e+00  5.61577267e+00 -1.52520990e+00 -1.10561266e+01
1.40000000e-01  9.76830101e-01  8.88395830e-01  6.85823237e+00  5.50521140e+00 -1.50786298e+00 -1.10203854e+01
1.50000000e-01  1.04541242e+00  9.43447944e-01  6.84315374e+00  5.39500755e+00 -1.49079148e+00 -1.09853106e+01
1.60000000e-01  1.11384396e+00  9.97398019e-01  6.82824582e+00  5.28515444e+00 -1.47399393e+00 -1.09508912e+01
1.70000000e-01  1.18212642e+00  1.05024956e+00  6.81350588e+00  5.17564553e+00 -1.45746896e+00 -1.09171162e+01
1.80000000e-01  1.25026148e+00  1.10200602e+00  6.79893120e+00  5.06647437e+00 -1.44121534e+00 -1.08839748e+01
1.90000000e-01  1.31825079e+00  1.15267076e+00  6.78451904e+00  4.95763462e+00 -1.42523191e+00 -1.08514561e+01
2.00000000e-01  1.38609598e+00  1.20224711e+00  6.77026672e+00  4.84912006e+00 -1.40951763e+00 -1.08195496e+01
2.10000000e-01  1.45379865e+00  1.25073831e+00  6.75617155e+00  4.74092456e+00 -1.39407158e+00 -1.07882446e+01
2.20000000e-01  1.52136036e+00  1.29814755e+00  6.74223083e+00  4.63304212e+00 -1.37889290e+00 -1.07575304e+01
2.30000000e-01  1.58878267e+00  1.34447798e+00  6.72844190e+00  4.52546681e+00 -1.36398085e+00 -1.07273967e+01
2.40000000e-01  1.65606709e+00  1.38973264e+00  6.71480209e+00  4.41819284e+00 -1.34933479e+00 -1.06978328e+01
2.50000000e-01  1.72321511e+00  1.43391457e+00  6.70130875e+00  4.31121452e+00 -1.33495416e+00 -1.06688283e+01
2.60000000e-01  1.79022820e+00  1.47702672e+00  6.68795920e+00  4.20452623e+00 -1.32083849e+00 -1.06403729e+01
2.70000000e-01  1.85710779e+00  1.51907198e+00  6.67475082e+00  4.09812250e+00 -1.30698740e+00 -1.06124561e+01
2.80000000e-01  1.92385530e+00  1.56005321e+00  6.66168094e+00  3.99199794e+00 -1.29340057e+00 -1.05850675e+01
2.90000000e-01  1.99047211e+00  1.59997318e+00  6.64874694e+00  3.88614727e+00 -1.28007780e+00 -1.05581967e+01
3.00000000e-01  2.05695958e+00  1.63883466e+00  6.63594616e+00  3.78056530e+00 -1.26701892e+00 -1.05318334e+01
3.10000000e-01  2.12331904e+00  1.67664031e+00  6.62327597e+00  3.67524697e+00 -1.25422387e+00 -1.05059671e+01
3.20000000e-01  2.18955180e+00  1.71339278e+00  6.61073373e+00  3.57018730e+00 -1.24169262e+00 -1.04805875e+01
3.30000000e-01  2.25565914e+00  1.74909465e+00  6.59831681e+00  3.46538142e+00 -1.22942523e+00 -1.04556840e+01
3.40000000e-01  2.32164231e+00  1.78374847e+00  6.58602255e+00  3.36082458e+00 -1.21742180e+00 -1.04312461e+01
3.50000000e-01  2.38750253e+00  1.81735671e+00  6.57384834e+00  3.25651212e+00 -1.20568251e+00 -1.04072635e+01
3.60000000e-01  2.45324101e+00  1.84992183e+00  6.56179151e+00  3.15243948e+00 -1.19420755e+00 -1.03837255e+01
3.70000000e-01  2.51885893e+00  1.88144623e+00  6.54984944e+00  3.04860223e+00 -1.18299718e+00 -1.03606215e+01
3.80000000e-01  2.58435742e+00  1.91193225e+00  6.53801946e+00  2.94499602e+00 -1.17205169e+00 -1.03379408e+01
3.90000000e-01  2.64973762e+00  1.94138221e+00  6.52629895e+00  2.84161661e+00 -1.16137139e+00 -1.03156729e+01
4.00000000e-01  2.71500061e+00  1.96979838e+00  6.51468523e+00  2.73845988e+00 -1.15095663e+00 -1.02938067e+01
4.10000000e-01  2.78014746e+00  1.99718298e+00  6.50317567e+00  2.63552181e+00 -1.14080777e+00 -1.02723316e+01
4.20000000e-01  2.84517922e+00  2.02353819e+00  6.49176759e+00  2.53279849e+00 -1.13092520e+00 -1.02512366e+01
